Area;Count of rents;Average;Crime rate;Population;latitude;longitude
City of London;20;2697;110;8760;51.512344;-0.090985
Barking and Dagenham;300;1186;71;201979;51.546483;0.12935
Barnet;1050;1417;56;379691;51.6569225;-0.1949252
Bexley;280;1049;46;242142;51.439933;0.154327
Brent;850;1539;71;324012;51.567281;-0.271057
Bromley;740;1225;53;324857;51.406025;0.013156
Camden;1080;2166;103;241059;51.551706;-0.158826
Croydon;570;1190;67;379031;51.376165;-0.098234
Ealing;990;1509;69;343059;51.525026;-0.3415
Enfield;220;1308;59;328433;51.652299;-0.080712
Greenwich;360;1379;72;274803;51.493368;0.009821
Hackney;630;1849;91;269009;51.5517953;-0.0646437
Hammersmith and Fulham;700;1865;98;179410;51.48;-0.21
Haringey;400;1550;86;272864;51.590611;-0.110971
Harrow;650;1307;45;247130;51.580559;-0.341995
Havering;280;1106;58;249085;51.577924;0.212083
Hillingdon;390;1256;63;297735;51.537801;-0.451142
Hounslow;800;1330;71;268770;51.460922;-0.373149
Islington;960;2050;100;227692;51.538621;-0.102835
Kensington and Chelsea;470;3101;110;157711;51.494;-0.186
Kingston upon Thames;210;1370;50;173525;51.41233;-0.300689
Lambeth;1030;1636;91;324431;51.493508;-0.117842
Lewisham;830;1379;68;297325;51.461151;-0.007318
Merton;550;1487;54;204565;51.415431;-0.185265
Newham;640;1458;77;332817;51.525516;0.035216
Redbridge;510;1244;57;296793;51.556619;0.076251
Richmond upon Thames;540;1704;50;194730;51.461305;-0.303771
Southwark;1170;1745;88;308901;51.502781;-0.087738
Sutton;350;1161;45;200145;51.361428;-0.193961
Tower Hamlets;1080;1869;85;295236;51.520261;-0.02934
Waltham Forest;640;1325;65;271170;51.594009;-0.0333
Wandsworth;1660;1746;66;314544;51.458373;-0.189136
Westminster;1210;2770;171;242299;51.4995;-0.1333
